labels,text,predicates,subj/obj,triple_A,triple_B,triple_C,triple_D
results,"The difference between the F 1 score on sentences of length upto 30 and that upto 70 is 1.3 for the BerkeleyParser , 1.7 for the baseline LSTM , and 0.7 for LSTM + A .","[('between', (2, 3)), ('on', (7, 8)), ('of length', (9, 11)), ('upto', (11, 12)), ('upto', (15, 16)), ('is', (17, 18)), ('for', (19, 20))]","[('difference', (1, 2)), ('F 1 score', (4, 7)), ('sentences', (8, 9)), ('30', (12, 13)), ('70', (16, 17)), ('1.3', (18, 19)), ('BerkeleyParser', (21, 22)), ('1.7', (23, 24)), ('baseline LSTM', (26, 28)), ('0.7', (30, 31)), ('LSTM + A', (32, 35))]",[],[],[],[]
results,"Surprisingly , LSTM +A shows less degradation with length than BerkeleyParser - a full O ( n 3 ) chart parser that uses a lot more memory .","[('shows', (4, 5)), ('with', (7, 8)), ('than', (9, 10))]","[('LSTM +A', (2, 4)), ('less degradation', (5, 7)), ('length', (8, 9)), ('BerkeleyParser', (10, 11))]",[],[],[],[]
experiments,"As described in the previous section , we initialized the word - vector embedding with pre-trained word vectors obtained from word2 vec .","[('initialized', (8, 9)), ('with', (14, 15)), ('obtained from', (18, 20))]","[('word - vector embedding', (10, 14)), ('pre-trained word vectors', (15, 18)), ('word2 vec', (20, 22))]",[],[],[],[]
results,LSTM + A trained on the high - confidence corpus ( which only includes text from news ) achieved an F 1 score of 95.7 on QTB and 84.6 on WEB .,"[('trained on', (3, 5)), ('achieved', (18, 19)), ('of', (23, 24)), ('on', (25, 26)), ('on', (29, 30))]","[('LSTM + A', (0, 3)), ('high - confidence corpus', (6, 10)), ('F 1 score', (20, 23)), ('95.7', (24, 25)), ('QTB', (26, 27)), ('84.6', (28, 29)), ('WEB', (30, 31))]",[],[],[],[]
results,Our score on WEB is higher both than the best score reported in ( 83.5 ) and the best score we achieved with an in - house reimplementation of Berkeley Parser trained on human - annotated data ( 84.4 ) .,"[('on', (2, 3)), ('higher both than', (5, 8)), ('achieved', (21, 22)), ('of', (28, 29)), ('trained on', (31, 33))]","[('Our score', (0, 2)), ('WEB', (3, 4)), ('best score', (9, 11)), ('( 83.5 )', (13, 16)), ('best score', (18, 20)), ('in - house reimplementation', (24, 28)), ('Berkeley Parser', (29, 31)), ('human - annotated data ( 84.4 )', (33, 40))]",[],[],[],[]
results,We managed to achieve a slightly higher score ( 84.8 ) with the in - house Berkeley Parser trained on a large corpus .,"[('achieve', (3, 4)), ('with', (11, 12)), ('trained on', (18, 20))]","[('slightly higher score ( 84.8 )', (5, 11)), ('in - house Berkeley Parser', (13, 18)), ('large corpus', (21, 23))]",[],[],[],[]
results,"On QTB , the 95.7 score of LSTM + A is also lower than the best score of our in - house BerkeleyParser ( 96.2 ) .","[('On', (0, 1)), ('of', (6, 7)), ('lower than', (12, 14)), ('of', (17, 18))]","[('QTB', (1, 2)), ('95.7 score', (4, 6)), ('LSTM + A', (7, 10)), ('best score', (15, 17)), ('our', (18, 19)), ('in - house BerkeleyParser ( 96.2 )', (19, 26))]",[],[],[],[]
research-problem,Improving Neural Parsing by Disentangling Model Combination and Reranking Effects,[],"[('Neural Parsing', (1, 3))]",[],[],[],[]
hyperparameters,"For the LSTM generative model ( LM ) , we use the pre-trained model released by Choe and .","[('For', (0, 1)), ('use', (10, 11))]","[('LSTM generative model ( LM )', (2, 8)), ('pre-trained model', (12, 14))]",[],[],[],[]
hyperparameters,We use actionsynchronous beam search ( Section 2.1 ) with beam size K = 100 for RD and word - synchronous beam ( Section 2.2 ) with K w = 100 and K a = 1000 for the generative models RG and LM .,"[('use', (1, 2)), ('with', (9, 10)), ('for', (15, 16)), ('with', (26, 27)), ('for', (36, 37))]","[('actionsynchronous beam search', (2, 5)), ('beam size K = 100', (10, 15)), ('RD', (16, 17)), ('word - synchronous beam', (18, 22)), ('K w', (27, 29)), ('generative models', (38, 40)), ('RG and LM', (40, 43))]",[],[],[],[]
results,"In comparison , we found higher performance for the LM model when using a candidate list from the RD parser : 93.66 F1 versus 92.79 F1 on the development data .","[('found', (4, 5)), ('for', (7, 8)), ('when using', (11, 13)), ('from', (16, 17)), ('versus', (23, 24)), ('on', (26, 27))]","[('higher performance', (5, 7)), ('LM model', (9, 11)), ('candidate list', (14, 16)), ('RD parser', (18, 20)), ('93.66 F1', (21, 23)), ('92.79 F1', (24, 26)), ('development data', (28, 30))]",[],[],[],[]
results,"We find that combining the scores of both models improves on using the score of either model alone , regardless of the source of candidates .","[('combining', (3, 4)), ('of', (6, 7)), ('of', (14, 15))]","[('scores', (5, 6)), ('both models', (7, 9)), ('improves', (9, 10)), ('using', (11, 12)), ('score', (13, 14)), ('either model alone', (15, 18))]",[],[],[],[]
results,Score combination also more than compensates for the decrease in performance we saw previously when adding in candidates from the generative model : RD ?,"[('more than compensates for', (3, 7)), ('when', (14, 15)), ('adding in', (15, 17)), ('from', (18, 19))]","[('Score combination', (0, 2)), ('decrease in', (8, 10)), ('performance', (10, 11)), ('candidates', (17, 18)), ('generative model', (20, 22)), ('RD', (23, 24))]",[],[],[],[]
experiments,"The same trends we observed on the development data , on which the interpolation parameters were tuned , hold here : score combination improves results for all models ( row 3 vs. row 2 ; row 6 vs. row 5 ) , with candidate augmentation from the generative models giving a further increase ( rows 4 and 7 ) .","[('improves', (23, 24)), ('for', (25, 26)), ('with', (42, 43)), ('from', (45, 46))]","[('score combination', (21, 23)), ('results', (24, 25)), ('all models', (26, 28)), ('candidate augmentation', (43, 45)), ('generative models', (47, 49)), ('further increase', (51, 53))]",[],[],[],[]
experiments,"As in the PTB training data setting , using all models for candidates and score combinations is best , achieving 94.66 F1 ( row 9 ) .","[('using', (8, 9)), ('for', (11, 12)), ('is', (16, 17)), ('achieving', (19, 20))]","[('PTB training data setting', (3, 7)), ('all models', (9, 11)), ('candidates and score combinations', (12, 16)), ('best', (17, 18)), ('94.66 F1', (20, 22))]",[],[],[],[]
experiments,"Performance when using only the ensembled RD models ( row 10 ) is lower than rescoring a single RD model with score combinations of single models , either RD + RG ( row 3 ) or RD + LM ( row 6 ) .","[('using', (2, 3)), ('with', (20, 21)), ('of', (23, 24))]","[('Performance', (0, 1)), ('only the ensembled RD models', (3, 8)), ('lower', (13, 14)), ('rescoring', (15, 16)), ('single RD model', (17, 20)), ('score combinations', (21, 23)), ('single models', (24, 26)), ('RD + RG', (28, 31)), ('RD + LM', (36, 39))]",[],[],[],[]
experiments,"In the PTB setting , ensembling with score combination achieves the best over all result of 94.25 ( row 13 ) .","[('In', (0, 1)), ('with', (6, 7)), ('achieves', (9, 10)), ('of', (15, 16))]","[('PTB setting', (2, 4)), ('ensembling', (5, 6)), ('score combination', (7, 9)), ('best over all result', (11, 15)), ('94.25', (16, 17))]",[],[],[],[]
research-problem,In- Order Transition - based Constituent Parsing,[],[],[],[],[],[]
research-problem,"Furthermore , the system achieves 93.6 F 1 with supervised reranking and 94.2 F 1 with semi-supervised reranking , which are the best results on the WSJ benchmark .","[('achieves', (4, 5)), ('with', (8, 9)), ('with', (15, 16))]","[('system', (3, 4)), ('93.6 F 1', (5, 8)), ('supervised reranking', (9, 11)), ('94.2 F 1', (12, 15)), ('semi-supervised reranking', (16, 18))]",[],[],[],[]
research-problem,Transition - based constituent parsing employs sequences of local transition actions to construct constituent trees over sentences .,"[('employs', (5, 6))]","[('Transition - based constituent parsing', (0, 5))]",[],[],[],[]
model,"In this paper , we propose a novel transition system for constituent parsing , mitigating issues of both bottom - up and top - down systems by finding a compromise between bottom - up constituent information and top - down lookahead information .","[('propose', (5, 6)), ('for', (10, 11)), ('mitigating', (14, 15)), ('of', (16, 17)), ('by finding', (26, 28)), ('between', (30, 31))]","[('novel transition system', (7, 10)), ('constituent parsing', (11, 13)), ('issues', (15, 16)), ('bottom - up and top - down systems', (18, 26)), ('compromise', (29, 30)), ('bottom - up constituent information', (31, 36)), ('top - down lookahead information', (37, 42))]",[],[],[],[]
code,We release our code at https://github.com/LeonCrashCode/InOrderParser .,[],"[('https://github.com/LeonCrashCode/InOrderParser', (5, 6))]",[],[],[],[]
hyperparameters,is a regularization hyperparameter (? = 10 ?6 ) . We use stochastic gradient descent with a 0.1 initialized learning rate with a 0.05 learning rate decay .,"[('is', (0, 1)), ('use', (11, 12)), ('with', (15, 16)), ('with', (21, 22))]","[('regularization hyperparameter (? = 10 ?6 )', (2, 9)), ('stochastic gradient descent', (12, 15)), ('0.1 initialized learning rate', (17, 21)), ('0.05 learning rate decay', (23, 27))]",[],[],[],[]
results,The bottom - up system performs slightly better than the top - down system .,"[('performs', (5, 6)), ('than', (8, 9))]","[('bottom - up system', (1, 5)), ('slightly better', (6, 8)), ('top - down system', (10, 14))]",[],[],[],[]
results,The inorder system outperforms both the bottom - up and the top - down system .,[],"[('inorder system', (1, 3)), ('outperforms', (3, 4)), ('bottom - up and the top - down system', (6, 15))]",[],[],[],[]
results,shows the parsing results on the English test dataset .,"[('on', (4, 5))]","[('English test dataset', (6, 9))]",[],[],[],[]
results,"We find that the bottom - up parser and the top - down parser have similar results under the greedy setting , and the in - order parser outperforms both of them .","[('find that', (1, 3)), ('have', (14, 15)), ('under', (17, 18))]","[('bottom - up parser and the top - down parser', (4, 14)), ('similar results', (15, 17)), ('greedy setting', (19, 21)), ('in - order parser', (24, 28)), ('outperforms', (28, 29))]",[],[],[],[]
results,"Also , with supervised reranking , the in - order parser achieves the best results .","[('with', (2, 3)), ('achieves', (11, 12))]","[('supervised reranking', (3, 5)), ('in - order parser', (7, 11)), ('best results', (13, 15))]",[],[],[],[]
results,English constituent results,[],[],[],[],[],[]
results,"With the fully - supervise setting 5 , the inorder parser outperforms the state - of - the - art discrete parser , the state - of - the - art neural parsers","[('With', (0, 1)), ('outperforms', (11, 12))]","[('fully - supervise setting', (2, 6)), ('inorder parser', (9, 11)), ('state - of - the - art discrete parser', (13, 22))]",[],[],[],[]
results,Chinese dependency results,[],[],[],[],[],[]
results,UAS LAS,[],[],[],[],[],[]
results,"The in - order parser performs the best on all constituent types , demonstrating that the in - order parser can benefit from both bottom - up and top - down information .","[('performs', (5, 6)), ('on', (8, 9))]","[('in - order parser', (1, 5)), ('best', (7, 8)), ('all constituent types', (9, 12))]",[],[],[],[]
experiments,Parsing as Language Modeling,[],[],[],[],[],[]
research-problem,"When trees are converted to Stanford dependencies , UAS and LAS are 95.9 % and 94.1 % .","[('converted to', (3, 5)), ('are', (11, 12))]","[('trees', (1, 2)), ('Stanford dependencies', (5, 7)), ('UAS and LAS', (8, 11)), ('95.9 % and 94.1 %', (12, 17))]",[],[],[],[]
model,"In this paper we borrow from the approaches of both of these works and present a neural - net parse reranker that achieves very good results , 93.8 F 1 , with a comparatively simple architecture .","[('present', (14, 15)), ('achieves', (22, 23)), ('with', (31, 32))]","[('neural - net parse reranker', (16, 21)), ('very good results', (23, 26)), ('93.8 F 1', (27, 30)), ('comparatively simple architecture', (33, 36))]",[],[],[],[]
experiments,Language Modeling,[],[],[],[],[],[]
experiments,Parsing as Language Modeling,[],[],[],[],[],[]
hyperparameters,Dropout is applied to non-recurrent connections and gradients are clipped when their norm is bigger than 20 .,"[('applied to', (2, 4)), ('when', (10, 11))]","[('Dropout', (0, 1)), ('non-recurrent connections', (4, 6)), ('gradients', (7, 8)), ('clipped', (9, 10)), ('norm', (12, 13)), ('bigger', (14, 15)), ('20', (16, 17))]",[],[],[],[]
hyperparameters,The learning rate is 0.25 0.85 max where is an epoch number .,"[('is', (3, 4))]","[('learning rate', (1, 3)), ('0.25 0.85 max', (4, 7))]",[],[],[],[]
research-problem,What Do Recurrent Neural Network Grammars Learn About Syntax ?,[],"[('Syntax', (8, 9))]",[],[],[],[]
research-problem,We find that explicit modeling of composition is crucial for achieving the best performance .,"[('of', (5, 6))]","[('explicit modeling', (3, 5)), ('composition', (6, 7)), ('best performance', (12, 14))]",[],[],[],[]
research-problem,"Through the attention mechanism , we find that headedness plays a central role in phrasal representation ( with the model 's latent attention largely agreeing with predictions made by hand - crafted head rules , albeit with some important differences ) .","[('Through', (0, 1)), ('find', (6, 7)), ('plays', (9, 10)), ('in', (13, 14)), ('made by', (27, 29))]","[('attention mechanism', (2, 4)), ('headedness', (8, 9)), ('phrasal representation', (14, 16)), ('hand - crafted head rules', (29, 34))]",[],[],[],[]
research-problem,"By training grammars without nonterminal labels , we find that phrasal representations depend minimally on nonterminals , providing support for the endocentricity hypothesis .","[('training', (1, 2)), ('without', (3, 4)), ('find that', (8, 10)), ('depend minimally on', (12, 15)), ('providing support for', (17, 20))]","[('grammars', (2, 3)), ('nonterminal labels', (4, 6)), ('phrasal representations', (10, 12)), ('nonterminals', (15, 16)), ('endocentricity hypothesis', (21, 23))]",[],[],[],[]
model,"In this paper , we focus on a recently proposed class of probability distributions , recurrent neural network grammars ( RNNGs ; ) , designed to model syntactic derivations of sentences .","[('focus on', (5, 7)), ('designed to model', (24, 27)), ('of', (29, 30))]","[('probability distributions', (12, 14)), ('recurrent neural network grammars ( RNNGs ; )', (15, 23)), ('syntactic derivations', (27, 29)), ('sentences', (30, 31))]",[],[],[],[]
model,"We focus on RNNGs as generative probabilistic models over trees , as summarized in 2 .","[('focus on', (1, 3)), ('as', (4, 5))]","[('RNNGs', (3, 4)), ('generative probabilistic models over', (5, 9))]",[],[],[],[]
model,This paper manipulates the inductive bias of RNNGs to test linguistic hypotheses .,"[('manipulates', (2, 3)), ('of', (6, 7)), ('to test', (8, 10))]","[('inductive bias', (4, 6)), ('RNNGs', (7, 8)), ('linguistic hypotheses', (10, 12))]",[],[],[],[]
model,"Based on the findings , we augment the RNNG composition function with a novel gated attention mechanism ( leading to the GA - RNNG ) to incorporate more interpretability into the model in 4 .","[('augment', (6, 7)), ('with', (11, 12)), ('leading to', (18, 20)), ('to incorporate', (25, 27)), ('into', (29, 30))]","[('RNNG composition function', (8, 11)), ('novel gated attention mechanism', (13, 17)), ('GA - RNNG', (21, 24)), ('more interpretability', (27, 29)), ('model', (31, 32))]",[],[],[],[]
model,"Unlike previous works that rely on hand - crafted rules to compose more fine - grained phrase representations , the RNNG implicitly parameterizes the information passed through compositions of phrases ( in ? and the neural network architecture ) , hence weakening the strong independence assumptions in classical probabilistic context - free grammars .","[('parameterizes', (22, 23)), ('passed through', (25, 27)), ('of', (28, 29))]","[('information', (24, 25)), ('compositions', (27, 28)), ('phrases ( in ? and the neural network architecture )', (29, 39))]",[],[],[],[]
model,"To generate a sentence x and its phrase - structure tree y , the RNNG samples a sequence of actions to construct y top - down .","[('To generate', (0, 2)), ('samples', (15, 16)), ('to', (20, 21))]","[('sentence x', (3, 5)), ('RNNG', (14, 15)), ('sequence of actions', (17, 20)), ('construct', (21, 22))]",[],[],[],[]
model,The RNNG uses three different actions :,"[('uses', (2, 3))]","[('RNNG', (1, 2)), ('three different actions', (3, 6))]",[],[],[],[]
model,"The RNNG consists of a stack , buffer of generated words , and list of past actions that lead to the current configuration .","[('consists of', (2, 4)), ('of', (8, 9)), ('lead to', (18, 20))]","[('RNNG', (1, 2)), ('stack', (5, 6)), ('buffer', (7, 8)), ('generated words', (9, 11)), ('list of past actions', (13, 17)), ('current configuration', (21, 23))]",[],[],[],[]
model,"At each timestep , the model encodes the stack , buffer , and past actions , with a separate LSTM for each component as features to define a distribution over the next action to take ( conditioned on the full algorithmic state ) .","[('At', (0, 1)), ('encodes', (6, 7)), ('with', (16, 17)), ('for', (20, 21)), ('as', (23, 24)), ('to define', (25, 27)), ('over', (29, 30)), ('conditioned on', (36, 38))]","[('each timestep', (1, 3)), ('stack , buffer , and past actions', (8, 15)), ('separate LSTM', (18, 20)), ('each component', (21, 23)), ('features', (24, 25)), ('distribution', (28, 29)), ('next action to take', (31, 35)), ('full algorithmic state', (39, 42))]",[],[],[],[]
model,Both inference problems can be solved using an importance sampling procedure .,"[('solved using', (5, 7))]","[('Both inference problems', (0, 3)), ('importance sampling procedure', (8, 11))]",[],[],[],[]
hyperparameters,The generative model did not use any pretrained word embeddings or POS tags ; a discriminative variant of the standard RNNG was used to obtain tree samples for the generative model .,"[('did not use', (3, 6)), ('to obtain', (23, 25))]","[('generative', (1, 2)), ('pretrained word embeddings or POS tags', (7, 13))]",[],[],[],[]
results,Do the phrasal representations learned by RN - NGs depend on individual lexical heads or multiple heads ?,"[('learned by', (4, 6)), ('depend on', (9, 11))]","[('Do the phrasal representations', (0, 4)), ('RN - NGs', (6, 9)), ('individual lexical heads', (11, 14))]",[],[],[],[]
results,NPs .,[],"[('NPs', (0, 1))]",[],[],[],[]
experiments,"The conversion accuracy is better for nouns ( ? 50 % error ) , and much better for determiners ( 30 % ) and particles ( 6 % ) with respect to the Collins head rules .","[('better for', (4, 6)), ('much better for', (15, 18)), ('with respect to', (29, 32))]","[('conversion accuracy', (1, 3)), ('nouns ( ? 50 % error )', (6, 13)), ('determiners ( 30 % ) and particles ( 6 % )', (18, 29)), ('Collins head rules', (33, 36))]",[],[],[],[]
